YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2023,1,ALBANIA,LA,18498.33075,1440,FALSE
2023,1,ARMENIA,UD,35730.1728,1702,FALSE
2023,1,AUSTRIA,LO,178321.12065,11355,FALSE
2023,1,BELGIUM,EB,366972.2253,10419,FALSE
2023,1,BOSNIA AND HERZEGOVINA,LQ,8112.631,744,FALSE
2023,1,BULGARIA,LB,46070.0734,2786,FALSE
2023,1,CANARY ISLANDS,GC,324823.5657,17508,FALSE
2023,1,CROATIA,LD,16108.94845,2332,FALSE
2023,1,CYPRUS,LC,43107.7407,2153,FALSE
2023,1,CZECHIA,LK,50201.5818,3854,FALSE
2023,1,DENMARK,EK,169975.49485,11293,TRUE
2023,1,ESTONIA,EE,13156.9761,1435,FALSE
2023,1,FINLAND,EF,175245.6184,8143,FALSE
2023,1,FRANCE,LF,1453243.2338,60291,FALSE
2023,1,GEORGIA,UG,35157.3579,1589,FALSE
2023,1,GERMANY,ED,1861083.14785,61229,FALSE
2023,1,GREECE,LG,120729.7978,11994,FALSE
2023,1,HUNGARY,LH,67845.89595,3981,FALSE
2023,1,ICELAND,BI,22298.90665,1427,FALSE
2023,1,IRELAND,EI,204834.7304,10302,FALSE
2023,1,ITALY,LI,818818.15245,51640,FALSE
2023,1,KOSOVO,BK,12863.9574,881,FALSE
2023,1,LATVIA,EV,27629.46185,2176,FALSE
2023,1,LITHUANIA,EY,25930.5559,1952,FALSE
2023,1,LUXEMBOURG,EL,127278.8001,2421,FALSE
2023,1,MALTA,LM,27694.49455,1737,FALSE
2023,1,"MOLDOVA, REPUBLIC OF",LU,15557.796,941,FALSE
2023,1,MONACO,LN,10.376100000000001,18,FALSE
2023,1,MONTENEGRO,LY,4178.8971,568,FALSE
2023,1,NETHERLANDS,EH,718001.87165,20635,FALSE
2023,1,NORTH MACEDONIA,LW,8601.1695,692,FALSE
2023,1,NORWAY,EN,180003.6668,25129,TRUE
2023,1,POLAND,EP,231581.4431,14698,FALSE
2023,1,PORTUGAL,LP,358801.96515,16560,TRUE
2023,1,ROMANIA,LR,103308.13425,7477,FALSE
2023,1,SERBIA,LY,33659.76745,2870,FALSE
2023,1,SLOVAKIA,LZ,6894.6801000000005,753,FALSE
2023,1,SLOVENIA,LJ,5099.97485,754,FALSE
2023,1,SPAIN,LE,1064361.4982,52345,FALSE
2023,1,SWEDEN,ES,169259.1676,15079,FALSE
2023,1,SWITZERLAND,LS,383834.2546,17594,FALSE
2023,1,TÜRKIYE,LT,1201990.8378,46596,FALSE
2023,1,UNITED KINGDOM,EG,2312903.952,74778,TRUE
2023,2,ALBANIA,LA,15561.0693,1233,FALSE
2023,2,ARMENIA,UD,28850.081400000003,1403,FALSE
2023,2,AUSTRIA,LO,163179.9327,10985,FALSE
2023,2,BELGIUM,EB,353570.1811,10091,FALSE
2023,2,BOSNIA AND HERZEGOVINA,LQ,6884.26315,642,FALSE
2023,2,BULGARIA,LB,39638.82865,2519,FALSE
2023,2,CANARY ISLANDS,GC,301526.91115,16551,FALSE
2023,2,CROATIA,LD,14569.75985,2166,FALSE
2023,2,CYPRUS,LC,42522.18535,2121,FALSE
2023,2,CZECHIA,LK,48825.98445,3811,FALSE
2023,2,DENMARK,EK,156888.35265,11031,TRUE
2023,2,ESTONIA,EE,12265.13665,1342,FALSE
2023,2,FINLAND,EF,160508.43995,7583,FALSE
2023,2,FRANCE,LF,1357747.1316,59672,FALSE
2023,2,GEORGIA,UG,30048.21335,1402,FALSE
2023,2,GERMANY,ED,1714023.76835,60513,FALSE
2023,2,GREECE,LG,107936.75135,11002,FALSE
2023,2,HUNGARY,LH,60965.28925,3707,FALSE
2023,2,ICELAND,BI,18015.7766,1174,FALSE
2023,2,IRELAND,EI,182129.10325,9321,FALSE
2023,2,ITALY,LI,753543.4529,48556,FALSE
2023,2,KOSOVO,BK,9464.5404,659,FALSE
2023,2,LATVIA,EV,24252.1364,1911,FALSE
2023,2,LITHUANIA,EY,24028.99645,1860,FALSE
2023,2,LUXEMBOURG,EL,133687.5901,2437,FALSE
2023,2,MALTA,LM,25298.79385,1728,FALSE
2023,2,"MOLDOVA, REPUBLIC OF",LU,12556.16955,797,FALSE
2023,2,MONACO,LN,12.64095,20,FALSE
2023,2,MONTENEGRO,LY,3735.33615,507,FALSE
2023,2,NETHERLANDS,EH,666509.26095,20074,FALSE
2023,2,NORTH MACEDONIA,LW,7425.23355,598,FALSE
2023,2,NORWAY,EN,168640.54295,23088,TRUE
2023,2,POLAND,EP,211488.35845,13928,FALSE
2023,2,PORTUGAL,LP,330785.22585,15678,TRUE
2023,2,ROMANIA,LR,90395.65755,6877,FALSE
2023,2,SERBIA,LY,29570.3733,2574,FALSE
2023,2,SLOVAKIA,LZ,6959.8375000000005,830,FALSE
2023,2,SLOVENIA,LJ,5013.5383,776,FALSE
2023,2,SPAIN,LE,994918.9593,50651,FALSE
2023,2,SWEDEN,ES,158374.1756,14852,FALSE
2023,2,SWITZERLAND,LS,354366.4442,17298,FALSE
2023,2,TÜRKIYE,LT,1138500.0026,45241,FALSE
2023,2,UNITED KINGDOM,EG,2160982.82325,72501,TRUE
2023,3,ALBANIA,LA,18147.4776,1518,FALSE
2023,3,ARMENIA,UD,33799.38345,1659,FALSE
2023,3,AUSTRIA,LO,194489.5891,12786,FALSE
2023,3,BELGIUM,EB,401812.88825,11694,FALSE
2023,3,BOSNIA AND HERZEGOVINA,LQ,8177.2767,777,FALSE
2023,3,BULGARIA,LB,46195.49425,2989,FALSE
2023,3,CANARY ISLANDS,GC,331632.59655,18764,FALSE
2023,3,CROATIA,LD,20969.4983,2850,FALSE
2023,3,CYPRUS,LC,55673.16165,2634,FALSE
2023,3,CZECHIA,LK,62655.35515,4819,FALSE
2023,3,DENMARK,EK,188723.38635,13356,TRUE
2023,3,ESTONIA,EE,15355.4002,1641,FALSE
2023,3,FINLAND,EF,175721.0777,8551,FALSE
2023,3,FRANCE,LF,1493873.8738,64359,FALSE
2023,3,GEORGIA,UG,36672.0253,1691,FALSE
2023,3,GERMANY,ED,2002771.3957,71593,FALSE
2023,3,GREECE,LG,139700.79295,13401,FALSE
2023,3,HUNGARY,LH,72676.09615,4478,FALSE
2023,3,ICELAND,BI,26577.03845,1711,FALSE
2023,3,IRELAND,EI,234171.5188,11354,FALSE
2023,3,ITALY,LI,909986.91085,57048,FALSE
2023,3,KOSOVO,BK,11141.991,795,FALSE
2023,3,LATVIA,EV,29304.1622,2321,FALSE
2023,3,LITHUANIA,EY,27927.2051,2159,FALSE
2023,3,LUXEMBOURG,EL,152097.47975,2874,FALSE
2023,3,MALTA,LM,31918.70145,2160,FALSE
2023,3,"MOLDOVA, REPUBLIC OF",LU,11450.7912,794,FALSE
2023,3,MONACO,LN,18.13455,30,FALSE
2023,3,MONTENEGRO,LY,4753.917100000001,600,FALSE
2023,3,NETHERLANDS,EH,766701.2576,23466,FALSE
2023,3,NORTH MACEDONIA,LW,9392.270900000001,740,FALSE
2023,3,NORWAY,EN,205221.383,28124,TRUE
2023,3,POLAND,EP,261849.1761,16427,FALSE
2023,3,PORTUGAL,LP,390776.41435,18459,TRUE
2023,3,ROMANIA,LR,104714.2486,7885,FALSE
2023,3,SERBIA,LY,33761.7663,3002,FALSE
2023,3,SLOVAKIA,LZ,8705.37025,1075,FALSE
2023,3,SLOVENIA,LJ,6417.72115,938,FALSE
2023,3,SPAIN,LE,1204218.3503,61176,FALSE
2023,3,SWEDEN,ES,184494.22745,17603,FALSE
2023,3,SWITZERLAND,LS,404369.38775,19110,FALSE
2023,3,TÜRKIYE,LT,1265389.38595,47983,FALSE
2023,3,UNITED KINGDOM,EG,2496524.50985,83857,TRUE
2023,4,ALBANIA,LA,23235.7104,1833,FALSE
2023,4,ARMENIA,UD,36762.361600000004,1747,FALSE
2023,4,AUSTRIA,LO,209850.3039,12967,FALSE
2023,4,BELGIUM,EB,413198.0201,12473,FALSE
2023,4,BOSNIA AND HERZEGOVINA,LQ,10354.0561,904,FALSE
2023,4,BULGARIA,LB,50053.6162,3119,FALSE
2023,4,CANARY ISLANDS,GC,297474.4297,17463,FALSE
2023,4,CROATIA,LD,39684.529800000004,4259,FALSE
2023,4,CYPRUS,LC,87704.28625,3817,FALSE
2023,4,CZECHIA,LK,74711.73295,5341,FALSE
2023,4,DENMARK,EK,210503.82635,13844,TRUE
2023,4,ESTONIA,EE,14733.77515,1568,FALSE
2023,4,FINLAND,EF,162704.48435,7584,FALSE
2023,4,FRANCE,LF,1599477.0747,72417,FALSE
2023,4,GEORGIA,UG,34068.49145,1830,FALSE
2023,4,GERMANY,ED,2191623.89535,79944,FALSE
2023,4,GREECE,LG,270144.02925,19447,FALSE
2023,4,HUNGARY,LH,78525.92625,4778,FALSE
2023,4,ICELAND,BI,30549.25725,1664,FALSE
2023,4,IRELAND,EI,264044.0427,12602,FALSE
2023,4,ITALY,LI,1095322.8736,66600,FALSE
2023,4,KOSOVO,BK,15129.82485,1035,FALSE
2023,4,LATVIA,EV,32304.36545,2523,FALSE
2023,4,LITHUANIA,EY,32464.91055,2363,FALSE
2023,4,LUXEMBOURG,EL,142326.4032,3021,FALSE
2023,4,MALTA,LM,41642.691,2735,FALSE
2023,4,"MOLDOVA, REPUBLIC OF",LU,11625.69195,785,FALSE
2023,4,MONACO,LN,25.058249999999997,41,FALSE
2023,4,MONTENEGRO,LY,6960.4368,776,FALSE
2023,4,NETHERLANDS,EH,823635.09735,25609,FALSE
2023,4,NORTH MACEDONIA,LW,12626.17,896,FALSE
2023,4,NORWAY,EN,202799.08845,26488,TRUE
2023,4,POLAND,EP,307855.8098,18056,FALSE
2023,4,PORTUGAL,LP,447444.36805,21127,TRUE
2023,4,ROMANIA,LR,116283.38865,8455,FALSE
2023,4,SERBIA,LY,39470.42925,3262,FALSE
2023,4,SLOVAKIA,LZ,9863.98875,1034,FALSE
2023,4,SLOVENIA,LJ,7166.18685,928,FALSE
2023,4,SPAIN,LE,1405576.6322,73370,FALSE
2023,4,SWEDEN,ES,189068.27275,16748,FALSE
2023,4,SWITZERLAND,LS,424398.7574,18931,FALSE
2023,4,TÜRKIYE,LT,1394461.7591,54170,FALSE
2023,4,UNITED KINGDOM,EG,2664165.2973,90604,TRUE
2023,5,ALBANIA,LA,25894.08045,2043,FALSE
2023,5,ARMENIA,UD,41141.23965,1854,FALSE
2023,5,AUSTRIA,LO,227422.1011,14469,FALSE
2023,5,BELGIUM,EB,428360.58575,13670,FALSE
2023,5,BOSNIA AND HERZEGOVINA,LQ,11300.81125,976,FALSE
2023,5,BULGARIA,LB,55508.8256,3597,FALSE
2023,5,CANARY ISLANDS,GC,247006.59005,16546,FALSE
2023,5,CROATIA,LD,59551.24975,5779,FALSE
2023,5,CYPRUS,LC,96404.055,4168,FALSE
2023,5,CZECHIA,LK,83774.65695,6036,FALSE
2023,5,DENMARK,EK,226857.68965,15496,TRUE
2023,5,ESTONIA,EE,17480.336600000002,1896,FALSE
2023,5,FINLAND,EF,175720.22,8540,FALSE
2023,5,FRANCE,LF,1739477.46845,81380,FALSE
2023,5,GEORGIA,UG,35669.55895,1859,FALSE
2023,5,GERMANY,ED,2326733.96755,87848,FALSE
2023,5,GREECE,LG,469420.9982,28792,FALSE
2023,5,HUNGARY,LH,86317.1566,5215,FALSE
2023,5,ICELAND,BI,44826.31895,1960,FALSE
2023,5,IRELAND,EI,299307.74585,13898,FALSE
2023,5,ITALY,LI,1215562.4471,73990,FALSE
2023,5,KOSOVO,BK,15082.71345,1026,FALSE
2023,5,LATVIA,EV,37269.6441,2888,FALSE
2023,5,LITHUANIA,EY,36659.087100000004,2707,FALSE
2023,5,LUXEMBOURG,EL,143999.25785,3223,FALSE
2023,5,MALTA,LM,44658.46,2925,FALSE
2023,5,"MOLDOVA, REPUBLIC OF",LU,11841.25015,888,FALSE
2023,5,MONACO,LN,32.9112,54,FALSE
2023,5,MONTENEGRO,LY,10536.9069,1057,FALSE
2023,5,NETHERLANDS,EH,875201.19055,27684,FALSE
2023,5,NORTH MACEDONIA,LW,14512.535100000001,1002,FALSE
2023,5,NORWAY,EN,225696.88685,29289,TRUE
2023,5,POLAND,EP,303996.19995,20025,FALSE
2023,5,PORTUGAL,LP,473365.24645,22541,TRUE
2023,5,ROMANIA,LR,119088.7711,9106,FALSE
2023,5,SERBIA,LY,45193.371,3678,FALSE
2023,5,SLOVAKIA,LZ,10711.30255,1243,FALSE
2023,5,SLOVENIA,LJ,8303.37695,1107,FALSE
2023,5,SPAIN,LE,1541673.70255,80321,FALSE
2023,5,SWEDEN,ES,206780.187,18861,FALSE
2023,5,SWITZERLAND,LS,438069.13345,20117,FALSE
2023,5,TÜRKIYE,LT,1595832.53005,63009,FALSE
2023,5,UNITED KINGDOM,EG,2953474.53685,101205,TRUE
2023,6,ALBANIA,LA,30565.04375,2358,FALSE
2023,6,ARMENIA,UD,44456.6619,2038,FALSE
2023,6,AUSTRIA,LO,237222.94615,14838,FALSE
2023,6,BELGIUM,EB,422549.8259,13685,FALSE
2023,6,BOSNIA AND HERZEGOVINA,LQ,14528.10685,1080,FALSE
2023,6,BULGARIA,LB,76068.17355,4880,FALSE
2023,6,CANARY ISLANDS,GC,240820.8271,16038,FALSE
2023,6,CROATIA,LD,82456.6849,7475,FALSE
2023,6,CYPRUS,LC,101382.7414,4454,FALSE
2023,6,CZECHIA,LK,110421.35655,7447,FALSE
2023,6,DENMARK,EK,234770.0458,15834,TRUE
2023,6,ESTONIA,EE,17160.0547,1800,FALSE
2023,6,FINLAND,EF,172560.07315,8501,FALSE
2023,6,FRANCE,LF,1815086.7028,84771,FALSE
2023,6,GEORGIA,UG,45491.4873,2345,FALSE
2023,6,GERMANY,ED,2390268.30785,90375,FALSE
2023,6,GREECE,LG,625137.9525,38314,FALSE
2023,6,HUNGARY,LH,94067.69425,5530,FALSE
2023,6,ICELAND,BI,60127.15395,2444,FALSE
2023,6,IRELAND,EI,307906.0001,13901,FALSE
2023,6,ITALY,LI,1310844.63745,79691,FALSE
2023,6,KOSOVO,BK,15859.6137,1063,FALSE
2023,6,LATVIA,EV,38006.9535,2932,FALSE
2023,6,LITHUANIA,EY,35785.15825,2724,FALSE
2023,6,LUXEMBOURG,EL,142948.29045,3355,FALSE
2023,6,MALTA,LM,43588.768,2987,FALSE
2023,6,"MOLDOVA, REPUBLIC OF",LU,15378.49765,1127,FALSE
2023,6,MONACO,LN,31.380300000000002,52,FALSE
2023,6,MONTENEGRO,LY,15985.79335,1478,FALSE
2023,6,NETHERLANDS,EH,860209.31155,27569,FALSE
2023,6,NORTH MACEDONIA,LW,15524.85155,1075,FALSE
2023,6,NORWAY,EN,245365.17495,30311,TRUE
2023,6,POLAND,EP,339979.44975,21590,FALSE
2023,6,PORTUGAL,LP,493431.1326,23520,TRUE
2023,6,ROMANIA,LR,127178.066,9690,FALSE
2023,6,SERBIA,LY,53160.00155,4185,FALSE
2023,6,SLOVAKIA,LZ,18642.4983,1725,FALSE
2023,6,SLOVENIA,LJ,8691.47705,1137,FALSE
2023,6,SPAIN,LE,1594579.36125,82650,FALSE
2023,6,SWEDEN,ES,214653.4229,18590,FALSE
2023,6,SWITZERLAND,LS,438934.9766,20489,FALSE
2023,6,TÜRKIYE,LT,1758402.99855,69499,FALSE
2023,6,UNITED KINGDOM,EG,3024488.50625,103782,TRUE
2023,7,ALBANIA,LA,37181.22225,2815,FALSE
2023,7,ARMENIA,UD,50405.39595,2310,FALSE
2023,7,AUSTRIA,LO,253006.2889,15341,FALSE
2023,7,BELGIUM,EB,454422.6067,14455,FALSE
2023,7,BOSNIA AND HERZEGOVINA,LQ,19738.160600000003,1263,FALSE
2023,7,BULGARIA,LB,91386.4888,5673,FALSE
2023,7,CANARY ISLANDS,GC,269911.4443,18195,FALSE
2023,7,CROATIA,LD,107127.3421,9545,FALSE
2023,7,CYPRUS,LC,111521.9019,4955,FALSE
2023,7,CZECHIA,LK,122650.5437,7965,FALSE
2023,7,DENMARK,EK,257834.6034,15272,TRUE
2023,7,ESTONIA,EE,16466.5148,1760,FALSE
2023,7,FINLAND,EF,175403.68545,7702,FALSE
2023,7,FRANCE,LF,2001289.65205,88381,FALSE
2023,7,GEORGIA,UG,54932.31765,2710,FALSE
2023,7,GERMANY,ED,2515945.7256,91072,FALSE
2023,7,GREECE,LG,736662.6475,45399,FALSE
2023,7,HUNGARY,LH,100064.58895,5812,FALSE
2023,7,ICELAND,BI,60938.8034,2627,FALSE
2023,7,IRELAND,EI,323238.5123,14427,FALSE
2023,7,ITALY,LI,1425669.5498,86771,FALSE
2023,7,KOSOVO,BK,21049.78255,1413,FALSE
2023,7,LATVIA,EV,39255.6321,2965,FALSE
2023,7,LIECHTENSTEIN,LS,0.4914,1,FALSE
2023,7,LITHUANIA,EY,39143.29815,2725,FALSE
2023,7,LUXEMBOURG,EL,148736.385,3301,FALSE
2023,7,MALTA,LM,46855.48315,3198,FALSE
2023,7,"MOLDOVA, REPUBLIC OF",LU,17977.33185,1225,FALSE
2023,7,MONACO,LN,39.42855,64,FALSE
2023,7,MONTENEGRO,LY,20041.9163,1837,FALSE
2023,7,NETHERLANDS,EH,908256.94735,28385,FALSE
2023,7,NORTH MACEDONIA,LW,16879.88125,1217,FALSE
2023,7,NORWAY,EN,260768.5116,27826,TRUE
2023,7,POLAND,EP,380563.9543,22437,FALSE
2023,7,PORTUGAL,LP,541288.71785,25436,TRUE
2023,7,ROMANIA,LR,134142.9455,9977,FALSE
2023,7,SERBIA,LY,58379.4611,4731,FALSE
2023,7,SLOVAKIA,LZ,22953.28155,1909,FALSE
2023,7,SLOVENIA,LJ,9697.235200000001,1221,FALSE
2023,7,SPAIN,LE,1770942.0416,91092,FALSE
2023,7,SWEDEN,ES,216690.18015,16667,FALSE
2023,7,SWITZERLAND,LS,490834.0486,21729,FALSE
2023,7,TÜRKIYE,LT,1911471.6016,74850,FALSE
2023,7,UNITED KINGDOM,EG,3213561.6758,108445,TRUE
