YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS,CO2_PER_FLIGHT
2016,1,ALBANIA,1666.0,8134.369000000001,4.882574429771909
2016,1,ARMENIA,1371.0,13408.554,9.780126914660832
2016,1,AUSTRIA,23971.0,180094.749,7.513026114888825
2016,1,BELGIUM,23925.0,306512.54,12.811391431556947
2016,1,BOSNIA AND HERZEGOVINA,661.0,3937.134,5.95632980332829
2016,1,BULGARIA,3595.0,32928.429000000004,9.159507371349097
2016,1,CROATIA,2824.0,13012.085,4.607678824362606
2016,1,CYPRUS,2948.0,36630.985,12.425707259158752
2016,1,DENMARK,19309.0,220757.542,11.43288321508105
2016,1,FINLAND,12984.0,182323.367,14.042157039433148
2016,1,FRANCE,124167.0,1521078.357,12.250262606006427
2016,1,GEORGIA,1536.0,16069.899,10.462173828125
2016,1,GERMANY,141112.0,2150273.004,15.238059158682466
2016,1,GREECE,18767.0,103066.736,5.491913251984867
2016,1,HUNGARY,6613.0,52294.733,7.907868289732345
2016,1,IRELAND,18775.0,162629.632,8.662030998668444
2016,1,ITALY,77573.0,867103.232,11.177899939411908
2016,1,LATVIA,5106.0,26543.019,5.19839776733255
2016,1,LITHUANIA,3691.0,20656.002,5.596315903549174
2016,1,LUXEMBOURG,4439.0,101645.842,22.89836494706015
2016,1,MALTA,2398.0,21173.322,8.829575479566305
2016,1,MONTENEGRO,704.0,4013.698,5.701275568181818
2016,1,NETHERLANDS,36686.0,795682.157,21.68898645259772
2016,1,NORWAY,34541.0,215195.388,6.230143539561681
2016,1,POLAND,24305.0,153721.586,6.324689816910102
2016,1,PORTUGAL,23562.0,269756.7,11.448803157626687
2016,1,ROMANIA,7839.0,79288.35,10.114600076540375
2016,1,SERBIA,4420.0,22902.343,5.18152556561086
2016,1,SLOVAKIA,1260.0,8851.547,7.025037301587302
2016,1,SLOVENIA,1889.0,6525.102,3.454262572789836
2016,1,SPAIN,116570.0,931319.328,7.989356849961396
2016,1,SWEDEN,25528.0,240249.457,9.411213451895957
2016,1,SWITZERLAND,35792.0,419729.945,11.726920680599017
2016,1,TÜRKIYE,71511.0,968634.234,13.545248059739063
2016,1,UNITED KINGDOM,140706.0,2556727.992,18.170710502750417
2016,2,ALBANIA,1507.0,7244.245000000001,4.8070637027206375
2016,2,ARMENIA,1144.0,11573.208,10.11644055944056
2016,2,AUSTRIA,24071.0,166600.637,6.921217938598313
2016,2,BELGIUM,24550.0,306749.642,12.494893767820773
2016,2,BOSNIA AND HERZEGOVINA,697.0,3872.238,5.5555781922525105
2016,2,BULGARIA,3356.0,29163.78,8.690041716328963
2016,2,CROATIA,2737.0,13081.632,4.779551333576909
2016,2,CYPRUS,2803.0,35803.492,12.773275775954334
2016,2,DENMARK,19760.0,214034.812,10.83172125506073
2016,2,FINLAND,13323.0,175430.722,13.167508969451326
2016,2,FRANCE,126693.0,1426198.852,11.257124324153663
2016,2,GEORGIA,1401.0,14296.239,10.204310492505353
2016,2,GERMANY,144511.0,2063420.638,14.27864064327283
2016,2,GREECE,17846.0,95695.96,5.362319847584893
2016,2,HUNGARY,6377.0,48982.813,7.681168731378391
2016,2,IRELAND,18309.0,149637.80000000002,8.172909498061063
2016,2,ITALY,76599.0,822453.419,10.737129975587148
2016,2,LATVIA,4628.0,23337.707,5.042719749351772
2016,2,LITHUANIA,3442.0,18918.594,5.496395700174317
2016,2,LUXEMBOURG,4527.0,93743.066,20.707547161475592
2016,2,MALTA,2406.0,21233.738,8.825327514546967
2016,2,MONTENEGRO,670.0,3569.4680000000003,5.327564179104478
2016,2,NETHERLANDS,37111.0,751007.889,20.23680011317399
2016,2,NORWAY,35729.0,220004.852,6.157598925242801
2016,2,POLAND,23812.0,145542.536,6.112150848311775
2016,2,PORTUGAL,22198.0,247472.18,11.148399855842868
2016,2,ROMANIA,7757.0,74858.73,9.650474410210132
2016,2,SERBIA,4050.0,19772.481,4.882094074074074
2016,2,SLOVAKIA,1405.0,9865.66,7.0218220640569395
2016,2,SLOVENIA,1950.0,6285.193,3.2231758974358975
2016,2,SPAIN,116229.0,903702.836,7.775192387442033
2016,2,SWEDEN,27641.0,240003.506,8.682880720668571
2016,2,SWITZERLAND,34567.0,388293.696,11.233074782306824
2016,2,TÜRKIYE,69459.0,925206.845,13.320186656876718
2016,2,UNITED KINGDOM,142996.0,2455305.561,17.170449250328684
2016,3,ALBANIA,1676.0,8450.441,5.04202923627685
2016,3,ARMENIA,1288.0,12282.168,9.535844720496895
2016,3,AUSTRIA,27014.0,192206.344,7.115064188939069
2016,3,BELGIUM,23480.0,287373.171,12.239061797274275
2016,3,BOSNIA AND HERZEGOVINA,804.0,4673.900000000001,5.813308457711443
2016,3,BULGARIA,3603.0,32598.084,9.04748376353039
2016,3,CROATIA,3121.0,16723.082000000002,5.35824479333547
2016,3,CYPRUS,3764.0,49827.171,13.237824388947928
2016,3,DENMARK,21671.0,235847.6,10.883097226708506
2016,3,FINLAND,14265.0,186753.142,13.091702909218366
2016,3,FRANCE,140195.0,1580951.056,11.27680057063376
2016,3,GEORGIA,1547.0,17016.222,10.999497091144152
2016,3,GERMANY,159815.0,2358639.753,14.758563044770517
2016,3,GREECE,20756.0,119842.515,5.773873337830025
2016,3,HUNGARY,7463.0,57573.972,7.7145882352941175
2016,3,IRELAND,21122.0,185562.113,8.785252959000095
2016,3,ITALY,86649.0,945324.711,10.90981674341308
2016,3,LATVIA,5313.0,27374.321,5.152328439676266
2016,3,LITHUANIA,3904.0,21498.402,5.506762807377049
2016,3,LUXEMBOURG,5302.0,112780.081,21.271233685401736
2016,3,MALTA,2976.0,27044.928,9.087677419354838
2016,3,MONTENEGRO,754.0,4154.405,5.509820954907162
2016,3,NETHERLANDS,42138.0,844434.909,20.039748184536524
2016,3,NORWAY,37750.0,238401.648,6.315275443708609
2016,3,POLAND,26493.0,164687.926,6.2162807534065605
2016,3,PORTUGAL,25785.0,283154.089,10.981349195268566
2016,3,ROMANIA,8581.0,84015.057,9.790823563687216
2016,3,SERBIA,4602.0,23247.764,5.051665362885702
2016,3,SLOVAKIA,1429.0,9555.413,6.686783065080476
2016,3,SLOVENIA,2396.0,7190.215,3.0009244574290483
2016,3,SPAIN,137077.0,1079553.401,7.875525441904915
2016,3,SWEDEN,29806.0,266992.666,8.957681876132323
2016,3,SWITZERLAND,37649.0,428361.673,11.37777027278281
2016,3,TÜRKIYE,77257.0,1045800.879,13.536648834409826
2016,3,UNITED KINGDOM,158179.0,2740741.409,17.32683484533345
2016,4,ALBANIA,1680.0,8313.7,4.948630952380952
2016,4,ARMENIA,1237.0,13457.421,10.87907922392886
2016,4,AUSTRIA,26904.0,197370.663,7.336108496877788
2016,4,BELGIUM,22821.0,294373.968,12.8992580517944
2016,4,BOSNIA AND HERZEGOVINA,901.0,6025.433,6.68749500554939
2016,4,BULGARIA,3986.0,36412.102,9.134997992975414
2016,4,CROATIA,3229.0,27312.986,8.458651594921028
2016,4,CYPRUS,5095.0,69876.555,13.714731108930323
2016,4,DENMARK,22229.0,237837.841,10.699439515947635
2016,4,FINLAND,14133.0,168156.303,11.898132243684994
2016,4,FRANCE,152978.0,1703102.748,11.132991332086966
2016,4,GEORGIA,1719.0,19515.373,11.352747527632344
2016,4,GERMANY,167265.0,2408619.732,14.400022311900278
2016,4,GREECE,26881.0,189094.502,7.0345039991071765
2016,4,HUNGARY,8046.0,62272.969,7.739618319661943
2016,4,IRELAND,22530.0,205957.193,9.141464403018198
2016,4,ITALY,91934.0,1031569.713,11.22076395022516
2016,4,LATVIA,5647.0,28787.07,5.097763414202231
2016,4,LITHUANIA,4432.0,25816.584,5.825041516245487
2016,4,LUXEMBOURG,5597.0,114701.198,20.493335358227622
2016,4,MALTA,3746.0,33865.948000000004,9.040562733582489
2016,4,MONTENEGRO,839.0,6065.049,7.228902264600715
2016,4,NETHERLANDS,44605.0,892236.078,20.00305073422262
2016,4,NORWAY,40139.0,238984.793,5.953929918533098
2016,4,POLAND,28130.0,169430.482,6.023124137931034
2016,4,PORTUGAL,30554.0,320997.982,10.505923348825032
2016,4,ROMANIA,8941.0,90234.487,10.092214181858852
2016,4,SERBIA,5005.0,26959.097,5.386432967032968
2016,4,SLOVAKIA,1511.0,10180.325,6.7374751819986765
2016,4,SLOVENIA,2440.0,7531.893,3.086841393442623
2016,4,SPAIN,150503.0,1229220.534,8.16741549337887
2016,4,SWEDEN,31150.0,255050.113,8.18780459069021
2016,4,SWITZERLAND,36488.0,423851.717,11.616194831177374
2016,4,TÜRKIYE,79718.0,1078637.647,13.530666185804964
2016,4,UNITED KINGDOM,164399.0,2866744.379,17.437723946009406
2016,5,ALBANIA,1710.0,8408.82,4.917438596491228
2016,5,ARMENIA,1352.0,14557.505,10.767385355029585
2016,5,AUSTRIA,28923.0,219068.018,7.574180340905162
2016,5,BELGIUM,29403.0,346790.83,11.79440295207972
2016,5,BOSNIA AND HERZEGOVINA,959.0,6529.859,6.809029197080292
