YEAR,MONTH_NUM,STATE_NAME,TOTAL_FLIGHTS,TOTAL_CO2_EMISSIONS
2016,1,ALBANIA,1666.0,8134.369000000001
2016,1,ARMENIA,1371.0,13408.554
2016,1,AUSTRIA,23971.0,180094.749
2016,1,BELGIUM,23925.0,306512.54
2016,1,BOSNIA AND HERZEGOVINA,661.0,3937.134
2016,1,BULGARIA,3595.0,32928.429000000004
2016,1,CANARY ISLANDS,,309534.124
2016,1,CROATIA,2824.0,13012.085
2016,1,CYPRUS,2948.0,36630.985
2016,1,CZECH REPUBLIC,9630.0,
2016,1,CZECHIA,,61041.388
2016,1,DENMARK,19309.0,220757.542
2016,1,ESTONIA,2721.0,
2016,1,FINLAND,12984.0,182323.367
2016,1,FRANCE,124167.0,1521078.357
2016,1,GEORGIA,1536.0,16069.899
2016,1,GERMANY,141112.0,2150273.004
2016,1,GREECE,18767.0,103066.736
2016,1,HUNGARY,6613.0,52294.733
2016,1,ICELAND,,22688.298
2016,1,IRELAND,18775.0,162629.632
2016,1,ITALY,77573.0,867103.232
2016,1,KOSOVO,,7281.467000000001
2016,1,LATVIA,5106.0,26543.019
2016,1,LITHUANIA,3691.0,20656.002
2016,1,LUXEMBOURG,4439.0,101645.842
2016,1,MALTA,2398.0,21173.322
2016,1,MOLDOVA,1667.0,
2016,1,"MOLDOVA, REPUBLIC OF",,11144.74
2016,1,MONACO,,17.089000000000002
2016,1,MONTENEGRO,704.0,4013.698
2016,1,NETHERLANDS,36686.0,795682.157
2016,1,NORTH MACEDONIA,,7197.238
2016,1,NORWAY,34541.0,215195.388
2016,1,POLAND,24305.0,153721.586
2016,1,PORTUGAL,23562.0,269756.7
2016,1,REPUBLIC OF NORTH MACEDONIA,1093.0,
2016,1,ROMANIA,7839.0,79288.35
2016,1,SERBIA,4420.0,22902.343
2016,1,SLOVAKIA,1260.0,8851.547
2016,1,SLOVENIA,1889.0,6525.102
2016,1,SPAIN,116570.0,931319.328
2016,1,SWEDEN,25528.0,240249.457
2016,1,SWITZERLAND,35792.0,419729.945
2016,1,TÜRKIYE,71511.0,968634.234
